character,wb
垦,"vef"
垦地,"vefb"
退却,"vefc"
垦,veff
退款,"veff"
退走,"vefh"
恳求,"vefi"
退场,"vefn"
姐夫,"vefw"
姐,"veg"
姐,vegg
退下,"vegh"
退还,"vegi"
退现,"vegm"
垦殖,"vegq"
退步,"vehi"
艮,"vei"
退潮,"veif"
奶油,"veim"
退学,"veip"
退路,"vekh"
退回,"velk"
退败,"vemt"
退赔,"vemu"
退赃,"vemy"
奶,ven
垦民,"vena"
退居,"vend"
退避,"venk"
恳,"venu"
退烧,"veoa"
奶粉,"veow"
奶糖,"veoy"
退,"vep"
嫒,"vepc"
退守,"vepf"
退,vepi
嬡,"vept"
退色,"veqc"
退钱,"veqg"
退后,"verg"
退掉,"verh"
媱,"verm"
退换,"verq"
婇,"ves"
退票,"vesf"
奶酪,"vesg"
婬,"vet"
恳辞,"vetd"
退租,"vete"
退役,"vetm"
嬀,"veto"
退税,"vetu"
奶瓶,"veua"
奶头,"veud"
姐弟,"veux"
娞,"vev"
奶妈,"vevc"
奶奶,"veve"
姐妹,"vevf"
嫍,"vevg"
退婚,"vevq"
奶娘,"vevy"
退伍,"vewg"
如胶似漆,"vewi"
退保,"vewk"
退休,"vews"
退位,"vewu"
九月份,"veww"
退货,"vewx"
退缩,"vexp"
退席,"veya"
恳请,"veyg"
退让,"veyh"
退训,"veyk"
奶房,"veyn"
恳谈,"veyo"
退庭,"veyt"
寻,"vf"
彟,"vfac"
奸臣,"vfah"
建功,"vfal"
那英,"vfam"
寻芳,"vfay"
那,"vfb"
妹子,"vfbb"
那,vfbh
建阳,"vfbj"
寻出,"vfbm"
妓院,"vfbp"
妓,"vfc"
嬉戏,"vfca"
妓,vfcy
嬬,"vfd"
建厂,"vfdg"
暨南大学,"vfdi"
衋,"vfdl"
建成,"vfdn"
寻春,"vfdw"
寻觅,"vfem"
娃,"vff"
建地,"vffb"
娃,vffg
建坪,"vffg"
建起,"vffh"
寻求,"vffi"
嫮,"vffn"
九霄云外,"vffq"
建都,"vfft"
姚雪垠,"vffv"
妹夫,"vffw"
妋,"vffy"
那天,"vfgd"
建于,"vfgf"
寻死,"vfgq"
那末,"vfgs"
奸,"vfh"
聿,"vfhk"
建,"vfhp"
嫃,"vfhw"
那些,"vfhx"
妹,"vfi"
奸淫,"vfie"
奸污,"vfif"
嬉水,"vfii"
寻常,"vfip"
妹,vfiy
媾,"vfj"
媾,vfjf
那里,"vfjf"
那是,"vfjg"
妌,"vfjh"
嬉,"vfk"
媴,"vfke"
寻味,"vfkf"
姞,"vfkg"
建中,"vfkh"
嬉,vfkk
寻呼,"vfkt"
建国,"vflg"
嬻,"vflm"
寻思,"vfln"
那边,"vflp"
那曲,"vfma"
毀,"vfmc"
婻,vfmf
建网,"vfmq"
嬦,"vfnf"
奸尸,"vfnn"
娡,"vfny"
建军,"vfpl"
嬄,"vfpu"
建安,"vfpv"
妩,"vfq"
寻乐,"vfqi"
妩,vfqn
妓馆,"vfqn"
奸杀,"vfqs"
那儿,"vfqt"
寻找,"vfra"
建制,"vfrm"
建模,"vfsa"
建树,"vfsc"
建材,"vfsf"
孀,"vfsh"
建档,"vfsi"
寻机,"vfsm"
建构,"vfsq"
寻梦,"vfss"
妙趣横生,"vfst"
那样,"vfsu"
忍无可忍,"vfsv"
姥,"vft"
建筑,"vfta"
那么,"vftc"
那般,"vfte"
建造,"vftf"
媎,"vftj"
那种,"vftk"
寻衅,"vftl"
嬉笑,"vftt"
建委,"vftv"
姥,vftx
寻,vfu
婞,"vfu"
建兰,"vfuf"
寻问,"vfuk"
奸商,"vfum"
建交,"vfuq"
寻亲,"vfus"
建立,"vfuu"
嬉闹,"vfuy"
建好,"vfvb"
妹妹,"vfvf"
妩媚,"vfvn"
妓女,"vfvv"
媾合,"vfwg"
那个,"vfwh"
婈,"vfwt"
女士们,"vfwu"
寻人,"vfww"
建华,"vfwx"
奸细,"vfxl"
寻幽,"vfxx"
奸计,"vfyf"
建设,"vfym"
建房,"vfyn"
那麽,"vfys"
建议,"vfyy"
姨,"vg"
妍,"vga"
嫩芽,"vgaa"
妍,vgah
婊子,"vgbb"
姪,"vgc"
尪,vgd
恕不奉陪,"vgdb"
姸,"vgdf"
婖,"vgdn"
姨丈,"vgdy"
婧,"vge"
婧,vgeg
婊,"vgey"
毁于一旦,"vggj"
九死一生,"vggt"
嫣,"vgh"
姃,"vghg"
嫣,vgho
退一步说,"vghy"
娝,"vgik"
嫰,"vgiw"
妚,"vgiy"
姮,"vgj"
嫥,"vgjf"
娻,"vgji"
嫩,"vgk"
嫩叶,"vgkf"
娪,"vgkg"
娕,"vgki"
嬾,"vgkm"
嫩,vgkt
嫰,vgkw
婳,"vglb"
媡,"vgli"
孋,"vgm"
姉,"vgmh"
嫧,"vgmy"
舃,"vgno"
毁灭性,"vgnt"
娅,"vgo"
娅,vgog
好不容易,"vgpj"
煭,"vgqo"
好事多磨,"vgqy"
女青年,"vgrh"
恕不接待,"vgrt"
妺,"vgs"
婕,"vgv"
娙,"vgva"
姨妈,"vgvc"
婕,vgvh
姨娘,"vgvy"
嬭,"vgw"
忍不住,"vgwy"
姨,vgx
嫣红,"vgxa"
嫊,"vgxi"
嫩绿,"vgxv"
姨,vgxw
邵武市,"vgym"
盡,"vh"
虓,"vha"
嫭,"vhah"
婋,"vham"
叟,"vhc"
鄋,"vhcb"
遚,"vhcp"
叟,vhcu
如此而已,"vhdn"
嬉皮士,"vhfg"
鼠目寸光,"vhfi"
婌,"vhi"
如虎添翼,"vhin"
婥,"vhj"
肀,"vhk"
媜,"vhmy"
娊,"vhqn"
如上所述,"vhrs"
歗,"vhtw"
媫,"vhvh"
姹紫嫣红,"vhvx"
虓,vhxm
如此说来,"vhyg"
录,"vi"
剥落,"viai"
逮获,"viaq"
妙药,"viax"
录取,"vibc"
妙观,"vicm"
剥夺,"vidf"
妙有,"viee"
娋,"vieg"
姚鼐,"vieh"
妙用,"viet"
妙哉,"vifa"
剥去,"vifc"
剥开,"viga"
逮到,"vigc"
肃静,"vige"
录下,"vigh"
录事,"vigk"
妙丽,"vigm"
剥皮,"vihc"
好学上进,"vihf"
妙龄,"vihw"
隶,"vii"
妙湛,"viia"
剥削,"viie"
妙法,"viif"
肃清,"viig"
肃,"vij"
鹔,"vijg"
剥,"vijh"
肃,vijk
录影,"vijy"
盝,"vilf"
姚剧,"vind"
隶书,"vinn"
隶属,"vint"
妙心,"viny"
如法炮制,"vior"
逮,"vip"
嫦,"viph"
逮,vipi
逯,"vipi"
姚,"viq"
肃然,"viqd"
录象,"viqj"
姚,viqn
肃杀,"viqs"
肃反,"virc"
逮捕,"virg"
剥掉,"virh"
妙舞,"virl"
录制,"virm"
妙手,"virt"
妙,"vit"
巡洋舰,"vite"
妙处,"vith"
肃穆,"vitr"
妙,vitt
录入,"vity"
录,viu
录音,"viuj"
肃立,"viuu"
媣,"vivs"
嫦娥,"vivt"
录像,"viwq"
妙华,"viwx"
逮住,"viwy"
妙旨,"vixj"
剥离,"viyb"
妙计,"viyf"
妙语,"viyg"
妙方,"viyy"
旭,"vj"
剿匪,"vjad"
妖蛾子,"vjbb"
旭,vjd
旮,"vjf"
娌,"vjfg"
娨,"vjfh"
妲,"vjg"
妲,vjgg
媞,"vjgh"
剿灭,"vjgo"
婸,"vjgr"
妽,"vjh"
媢,"vjhg"
巢湖,"vjid"
如临深渊,"vjii"
娼,"vjj"
娼,vjjg
旭日,"vjjj"
旮旯,"vjjv"
媪,"vjl"
嫚,"vjlc"
媪,vjlg
媀,"vjmy"
娼寮,"vjpd"
巢穴,"vjpw"
巢,"vjs"
鄛,"vjsb"
剿,"vjsj"
勦,"vjsl"
巢,vjsu
婐,"vjsy"
如是我闻,"vjtu"
娼妓,"vjvf"
娼妇,"vjvv"
那时候,"vjwh"
婫,"vjxx"
如果说,"vjyu"
如,"vk"
如期,"vkad"
召募,"vkaj"
邵,"vkb"
邵,vkbh
卲,"vkbh"
綤,"vkbi"
邵阳,"vkbj"
邕,"vkc"
邕,vkcb
如能,"vkce"
雝,"vkcy"
如左,"vkda"
如厕,"vkdm"
如愿,"vkdr"
如故,"vkdt"
娟,"vke"
娟,vkeg
召,"vkf"
如云,"vkfc"
如,vkg
召开,"vkga"
娱,"vkgd"
如一,"vkgg"
如下,"vkgh"
如来,"vkgo"
娖,"vkh"
如上,"vkhh"
如旧,"vkhj"
嬇,"vkhm"
如此,"vkhx"
邕江,"vkia"
如法,"vkif"
邵水,"vkii"
如泥,"vkin"
如常,"vkip"
如是,"vkjg"
刟,"vkjh"
如果,"vkjs"
召唤,"vkkq"
嬠,"vkks"
孍,"vkkt"
劭,"vkl"
召回,"vklk"
劭,vkln
如图,"vklt"
娲,"vkm"
如同,"vkmg"
召见,"vkmq"
娲,vkmw
恕,"vkn"
邕剧,"vknd"
娱悦,"vknu"
如数,"vkov"
迢,"vkp"
迢,vkpd
娱宾,"vkpr"
邕宁,"vkps"
如实,"vkpu"
邵氏,"vkqa"
娱乐,"vkqi"
欩,"vkqw"
如皋,"vkrd"
挐,"vkrh"
寻呼机,"vksm"
桇,"vksu"
娟秀,"vkte"
鴽,"vkto"
如意,"vkuj"
如姬,"vkva"
娟娟,"vkvk"
如何,"vkws"
如今,"vkwy"
絮,"vkx"
絮,vkxi
如约,"vkxq"
召请,"vkyg"
邕州,"vkyt"
舅,"vl"
巡逻队,"vlbw"
姻,"vld"
婟,"vldg"
姻,vldy
媦,"vleg"
甾,"vlf"
嬕,"vlff"
嫼,"vlfo"
疀,"vlgh"
嬽,"vlhd"
好办法,"vlif"
邋遢,"vljn"
舅,vll
舅,vllb
娚,"vlln"
嫐,"vllv"
媤,"vlny"
邋,"vlq"
巤,"vlqn"
邋,vlqp
鶅,"vlt"
姻亲,"vlus"
舅妈,"vlvc"
舅舅,"vlvl"
媼,"vlw"
舅父,"vlwq"
嫘,"vlx"
舅母,"vlxg"
嫘,vlxi
姻缘,"vlxx"
妯,"vm"
婰,"vma"
姎,"vmd"
婩,"vmdf"
媏,"vmdj"
尳,vmed
女同胞,"vmeq"
姌,"vmf"
婤,"vmfk"
女同志,"vmfn"
妯,vmg
姵,"vmgh"
姛,"vmgk"
娉,"vmgn"
媺,"vmgt"
奾,"vmh"
帠,"vmhj"
帇,"vmhk"
媧,"vmk"
姗,"vmm"
姗,vmmg
孆,"vmmv"
姵,vmt
灵丹妙药,"vmva"
妯娌,"vmvj"
姗姗,"vmvm"
妠,"vmw"
孈,"vmwk"
刀,"vn"
姄,"vnan"
如履薄冰,"vnau"
鼠药,"vnax"
刀子,"vnbb"
刀叉,"vncy"
婮,"vndg"
鼠辈,"vndj"
刀面,"vndm"
妞,"vnf"
妞,vnfg
彐,"vng"
隶属于,"vngf"
彐,vngg
媚,"vnh"
婽,"vnhc"
婿,"vnhe"
媚,vnhg
媁,"vnhh"
媚眼,"vnhv"
刀具,"vnhw"
鼠蹊,"vnkh"
鼠肉,"vnmw"
妃,"vnn"
巛,"vnnn"
鼠害,"vnpd"
媚外,"vnqh"
刀锋,"vnqt"
刀械,"vnsa"
鼠标,"vnsf"
刀柄,"vnsg"
刀枪,"vnsw"
刀,vnt
刀片,"vnth"
娓,"vntn"
刀笔,"vntt"
鼠,"vnu"
鼣,"vnud"
鼱,"vnue"
鼭,"vnuf"
鼪,"vnug"
鼦,"vnuk"
鼲,"vnul"
鼠疫,"vnum"
鼠,vnun
鼸,"vnuo"
怒发冲冠,"vnup"
鼥,"vnuq"
鼨,"vnuu"
刀痕,"vnuv"
刀背,"vnux"
鼤,"vnuy"
娓娓,"vnvn"
刀刃,"vnvy"
嫪,"vnw"
刀剑,"vnwg"
刀伤,"vnwt"
刀俎,"vnww"
妜,"vnwy"
妮,"vnx"
妮,vnxn
姒,"vny"
姒,vnyw
灵,"vo"
灵巧,"voag"
灵芝,"voap"
灵药,"voax"
灵通,"voce"
灵验,"vocw"
灵感,"vodg"
灵魂,"vofc"
灵堂,"voip"
灵光,"voiq"
灵活,"voit"
粛,"vojk"
妒火中烧,"voko"
灵车,"volg"
灵力,"volt"
灵界,"volw"
毇,"vomc"
灵骨,"vome"
灵肉,"vomw"
灵丹,"vomy"
灵犀,"voni"
灵性,"vont"
嬫,"voos"
婒,"vooy"
灵宝,"vopg"
嫾,"voqh"
灵气,"vorn"
灵柩,"vosa"
灵机,"vosm"
灵杰,"voso"
灵符,"votw"
灵敏,"votx"
灵,vou
灵前,"voue"
灵效,"vouq"
如火如荼,"vova"
彛,"vowa"
灵便,"vowg"
灵位,"vowu"
彞,"voxa"
巡,"vp"
建军节,"vpab"
巡警,"vpaq"
嫁娶,"vpbc"
巡防,"vpby"
嫁,"vpe"
嫁,vpey
婃,"vpf"
媗,"vpg"
婝,"vpgh"
嬪,"vpgm"
嫁祸于人,"vpgw"
婶婆,"vpih"
九寨沟,"vpiq"
婶,"vpj"
婶,vpjh
嫇,"vpju"
婉顺,"vpkd"
婉转,"vplf"
媈,"vplh"
巡回,"vplk"
巡逻,"vplq"
帚,"vpm"
帚,vpmh
婉惜,"vpna"
婠,"vpnn"
嬣,"vpns"
巡官,"vppn"
巡察,"vppw"
巡视,"vppy"
婉,"vpq"
婉,vpqb
妉,"vpqn"
婉儿,"vpqt"
嫔,"vpr"
婉拒,"vpra"
巡抚,"vprf"
巡捕,"vprg"
巡按,"vprp"
嫁接,"vpru"
嫔,vprw
巡查,"vpsj"
姹,"vpt"
姹,vpta
巡航,"vpte"
巡行,"vptf"
嫁妆,"vpuv"
巡,vpv
召之即来,"vpvg"
嫔妃,"vpvn"
婶婶,"vpvp"
嫆,"vpw"
婶母,"vpxg"
巡缉,"vpxk"
婉约,"vpxq"
嫁给,"vpxw"
婉谢,"vpyt"
巡夜,"vpyw"
婉言,"vpyy"
婚,"vq"
婚,vqa
婚期,"vqad"
婚,vqaj
兒,"vqb"
郳,"vqbh"
媰,"vqbt"
姽,"vqd"
尯,vqdb
邵逸夫,"vqfw"
好逸恶劳,"vqga"
婚否,"vqgi"
婚事,"vqgk"
妳,"vqi"
姰,"vqjg"
娩,"vqk"
努尔哈赤,"vqkf"
姳,"vqkg"
娩,vqkq
婏,"vqky"
嫓,"vqmx"
媍,"vqmy"
婚外情,"vqng"
舄,"vqou"
婅,"vqoy"
婚礼,"vqpy"
姼,"vqqy"
婚后,"vqrg"
媱,vqrm
婚托,"vqrt"
婚配,"vqsg"
如鱼得水,"vqti"
鶂,"vqto"
夛,"vqu"
婚前,"vque"
姽婳,"vqvg"
婙,"vqvh"
婚姻,"vqvl"
婚嫁,"vqvp"
鸠合,"vqwg"
如饥似渴,"vqwi"
婚介,"vqwj"
婚假,"vqwn"
鸠集,"vqwy"
婚纱,"vqxi"
婚约,"vqxq"
妁,"vqy"
鸠,"vqyg"
嬼,"vqyj"
媹,"vqyl"
婚变,"vqyo"
妁,vqyy
奺,"vqyy"
姤,"vrg"
忍气吞声,"vrgf"
媓,"vrgg"
娦,"vrgw"
妡,"vrh"
姩,"vrhf"
姝,"vri"
姝,vriy
妙手回春,"vrld"
杂技团,"vrlf"
婂,"vrmh"
媿,"vrqc"
婢,"vrt"
婢,vrtf
婢女,"vrvv"
娦,vrwy
妷,"vrwy"
嬓,"vryt"
杂,"vs"
杂项,"vsad"
杂草,"vsaj"
好极了,"vsbb"
杂耍,"vsdm"
杂碎,"vsdy"
嫖,"vsf"
杂支,"vsfc"
嫖,vsfi
杂志,"vsfn"
灵机一动,"vsgf"
杂事,"vsgk"
奵,"vsh"
杂沓,"vsij"
妸,"vskg"
杂品,"vskk"
杂剧,"vsnd"
杂粮,"vsoy"
嫖客,"vspt"
寻根究底,"vspy"
杂错,"vsqa"
杂色,"vsqc"
杂技,"vsrf"
好样的,"vsrq"
杂乱,"vstd"
杂处,"vsth"
杂种,"vstk"
杂务,"vstl"
杂役,"vstm"
杂物,"vstr"
杂,vsu
杂音,"vsuj"
杂交,"vsuq"
嫖妓,"vsvf"
婹,"vsvg"
杂录,"vsvi"
嫖娼,"vsvj"
婡,"vsww"
杂货,"vswx"
杂念,"vswy"
杂费,"vsxj"
杂记,"vsyn"
杂谈,"vsyo"
杂文,"vsyy"
九,"vt"
奼,"vta"
妖邪,"vtah"
群落,"vtai"
群英,"vtam"
群殴,"vtaq"
群芳,"vtay"
君子,"vtbb"
群聚,"vtbc"
九孔,"vtbn"
建筑队,"vtbw"
娇柔,"vtcb"
九台,"vtck"
妖,"vtd"
群雄,"vtdc"
九大,"vtdd"
姡,"vtdg"
妖艳,"vtdh"
娇,"vtdj"
九成,"vtdn"
九龙,"vtdx"
妖,vtdy
尹,"vte"
九月,"vtee"
妊,"vtf"
九地,"vtfb"
妊,vtfg
妦,vtfh
奷,"vtfh"
九霄,"vtfi"
娗,"vtfp"
姺,"vtfq"
杂乱无章,"vtfu"
姊夫,"vtfw"
恕我直言,"vtfy"
姓,"vtg"
尰,vtgf
媑,"vtgf"
姓,vtgg
君王,"vtgg"
既往不咎,"vtgt"
娇妻,"vtgv"
臼,"vth"
妰,"vthf"
臼,vthg
婣,"vthh"
嬶,"vthj"
媳,"vthn"
娫,"vthp"
臼齿,"vthw"
那么些,"vthx"
九江,"vtia"
群小,"vtih"
九洲,"vtiy"
娳,"vtj"
群贤,"vtjc"
娿,vtjh
群星,"vtjt"
群,"vtk"
郡,"vtkb"
群,vtkd
君,"vtkd"
裠,"vtke"
娇贵,"vtkh"
九品,"vtkk"
姓别,"vtkl"
頵,"vtkm"
鵘,"vtko"
覠,"vtkq"
媲,"vtl"
媿,vtlc
群架,"vtlk"
媲,vtlx
姠,"vtm"
群山,"vtmm"
九,vtn
媥,"vtna"
娇憨,"vtnb"
妖怪,"vtnc"
群居,"vtnd"
群情,"vtng"
九届,"vtnm"
姊,"vtnt"
嬏,"vto"
建筑业,"vtog"
九宵,"vtpi"
九宫,"vtpk"
娇客,"vtpt"
姂,"vtpy"
姓氏,"vtqa"
姓名,"vtqk"
群岛,"vtqy"
娥,"vtr"
九泉,"vtri"
娇气,"vtrn"
娥,vtrt
君权,"vtsc"
那么样,"vtsu"
如释重负,"vttq"
建筑物,"vttr"
好得很,"vttv"
娇美,"vtug"
群交,"vtuq"
妖道,"vtut"
姑息养奸,"vtuv"
妊娠,"vtvd"
姊妹,"vtvf"
娇嫩,"vtvg"
群策群力,"vtvl"
娇媚,"vtvn"
鳭,"vtvo"
姊姊,"vtvt"
媳妇,"vtvv"
群体,"vtws"
群众,"vtww"
群集,"vtwy"
娒,"vtxu"
娇纵,"vtxw"
始乱终弃,"vtxy"
姀,"vty"
灵敏度,"vtya"
君主,"vtyg"
妖妄,"vtyn"
好自为之,"vtyp"
妖魔,"vtys"
九州,"vtyt"
嫌,"vu"
姘,"vua"
嬢,"vuae"
姘,vuah
娴雅,"vuah"
嬂,"vuaj"
嫡子,"vubb"
嫌隙,"vubi"
嫅,"vuda"
婘,"vudb"
嫸,"vudk"
媊,"vuej"
嬘,"vuep"
嬢,vufe
姅,"vufh"
姘夫,"vufw"
媄,"vugd"
录音带,"vugk"
嫌恶,"vugo"
嬟,"vugt"
嫡派,"vuir"
婵,"vuj"
婵,vujf
嫜,"vujh"
嬑,"vujn"
婄,"vuk"
娧,"vukq"
嫡,"vum"
嫡,vumd
姘居,"vund"
嫌憎,"vunu"
嫉恨,"vunv"
媂,"vuph"
嫎,"vupy"
姣,"vuq"
嫌犯,"vuqt"
姣,vuqy
娴,"vus"
媨,"vusg"
录音机,"vusm"
娴,vusy
媇,"vusy"
嫉,"vut"
嫉,vutd
馗,"vuth"
妇产科,"vutu"
嫡系,"vutx"
姘头,"vuud"
姣美,"vuug"
嫡亲,"vuus"
嫌,vuv
姣好,"vuvb"
奴颜婢膝,"vuve"
婵娟,"vuvk"
嫌,vuvo
嫉妒,"vuvy"
嫡传,"vuwf"
娣,"vux"
嬨,"vuxn"
娣,vuxt
嫌疑,"vuxt"
娴熟,"vuyb"
嫌弃,"vuyc"
嫌讥,"vuym"
妇,"vv"
女工,"vvaa"
妇女节,"vvab"
女鞋,"vvaf"
女警,"vvaq"
女子,"vvbb"
女阴,"vvbe"
妇孺,"vvbf"
妇联,"vvbu"
女孩,"vvby"
女友,"vvdc"
女厕,"vvdm"
女用,"vvet"
娜,"vvf"
娜,vvfb
女士,"vvfg"
女真,"vvfh"
妇,vvg
奻,"vvg"
女王,"vvgg"
姗姗来迟,"vvgn"
嫂,"vvh"
嫂,vvhc
嬧,"vvhl"
婚姻法,"vvif"
女流,"vviy"
女星,"vvjt"
妱,"vvk"
女中,"vvkh"
妇女界,"vvlw"
女婴,"vvmm"
女尸,"vvnn"
女性,"vvnt"
女神,"vvpy"
婗,"vvq"
女色,"vvqc"
女儿,"vvqt"
女排,"vvrd"
女皇,"vvrg"
女权,"vvsc"
女校,"vvsu"
妇德,"vvtf"
女生,"vvtg"
女篮,"vvtj"
妇科,"vvtu"
姊妹篇,"vvty"
女眷,"vvud"
女装,"vvuf"
女单,"vvuj"
女将,"vvuq"
妇道,"vvut"
女弟,"vvux"
女,"vvv"
刕,"vvvb"
女奴,"vvvc"
脋,"vvve"
姦,"vvvf"
女娲,"vvvk"
女婿,"vvvn"
女,vvvv
妇女,"vvvv"
女仔,"vvwb"
女佣,"vvwe"
女侍,"vvwf"
女人,"vvww"
女红,"vvxa"
妇幼,"vvxl"
女郎,"vvyv"
女方,"vvyy"
妐,"vwc"
嬹,"vwfw"
姾,"vwg"
婨,"vwga"
婾,"vwgb"
姈,"vwgc"
媮,"vwge"
媮,vwgj
嬒,"vwgj"
录像带,"vwgk"
嬆,"vwgn"
忍俊不禁,"vwgs"
嬁,"vwgu"
嬐,"vwgw"
臾,"vwi"
妎,"vwj"
媬,"vwk"
九华山,"vwmm"
惥,"vwnb"
群众性,"vwnt"
娰,"vwnw"
娰,vwny
杂货铺,"vwqg"
退休金,"vwqq"
录像机,"vwsm"
姙,"vwtf"
录像片,"vwth"
斞,"vwu"
妢,"vwv"
妢,vwvn
孅,"vww"
召集人,"vwww"
退休费,"vwxj"
嫶,"vwy"
姈,vwyc
孇,"vwyc"
婎,"vwyg"
娢,"vwyk"
妗,vwyn
姆,"vx"
姆,vxg
始终不渝,"vxgi"
姆,vxgu
嬵,"vxrh"
姆指,"vxrx"
嫋,"vxu"
始终如一,"vxvg"
女强人,"vxww"
妣,"vxx"
妣,vxxn
媘,"vxxr"
娹,"vxy"
妨,"vy"
嫬,vyao
娘子,"vybb"
好高鹜远,"vycf"
訄,"vyd"
忍辱,"vydf"
妨碍,"vydj"
忍耐,"vydm"
忍受,"vyep"
建设者,"vyft"
娮,"vyg"
丒,"vygf"
忍下,"vygh"
刄,vyi
丸,"vyi"
婛,"vyiy"
孃,"vyk"
刃口,"vykk"
妫,"vyl"
嬗,"vylg"
妫,vyly
妔,"vymn"
妨,vyn
忍,"vyn"
媥,vyna
妒忌,"vynn"
妒,"vynt"
忍,vynu
姟,"vynw"
忍心,"vyny"
婷,"vyp"
妨害,"vypd"
娘家,"vype"
婷,vyps
嬷,"vys"
嬷,vysc
孊,"vysd"
嫲,"vyss"
嫙,"vyth"
嬚,"vyu"
忍痛,"vyuc"
妒意,"vyuj"
嬚,vyuo
娘,"vyv"
嫏,"vyvb"
奿,"vyvd"
娘,vyve
歰,"vyvh"
嫝,"vyvi"
妒嫉,"vyvu"
娘娘,"vyvy"
好为人师,"vywj"
女主人,"vyww"
忍住,"vywy"
妶,"vyx"
妏,"vyy"
忍让,"vyyh"
嬗变,"vyyo"
人,"w"
代,"wa"
俴,"waa"
代工,"waaa"
侙,"waaf"
侙,waag
代劳,"waap"
僷,"waas"
何其芳,"waay"
袋子,"wabb"
傇,"wabg"
供职,"wabk"
借出,"wabm"
偌,"wad"
代码,"wadc"
偌大,"wadd"
備,"wade"
化工厂,"wadg"
代耕,"wadi"
偌,wadk
偡,"wadn"
借故,"wadt"
供奉,"wadw"
借助,"waeg"
借用,"waet"
仝,"waf"
集散地,"wafb"
借支,"wafc"
供需,"wafd"
贷款,"waff"
佄,"wafg"
僭越,"wafh"
供求,"wafi"
借过,"wafp"
侥幸,"wafu"
代替,"wafw"
仜,"wag"
仺,"wagd"
代表,"wage"
代理,"wagj"
借来,"wago"
黛玉,"wagy"
伢,"wah"
代步,"wahi"
供桌,"wahj"
儖,"wahl"
伢,waht
供水,"waii"
公共汽车,"wail"
借光,"waiq"
借,"waj"
供暖,"waje"
借,wajg
借题,"wajg"
供电,"wajn"
借鉴,"wajt"
偃,"wajv"
僅,"wak"
代号,"wakg"
借口,"wakk"
傼,"wakw"
黛,"wal"
黛,walo
儚,"walq"
全世界,"walw"
贷,"wam"
偀,"wamd"
帒,"wamh"
岱,"wamj"
代购,"wamq"
贷,wamu
僙,"wamw"
佢,"wan"
佢,wang
借书,"wann"
偞,"wans"
借以,"wany"
代数,"waov"
借宿,"wapw"
供神,"wapy"
停薪留职,"waqb"
僃,"waqe"
借钱,"waqg"
僀,"waqh"
供销,"waqi"
僭,"waqj"
儆,"waqt"
伛,"waqy"
牮,"war"
牮,warh
借据,"warn"
代打,"wars"
代垫,"warv"
柋,"was"
伐木,"wass"
供述,"wasy"
伐,"wat"
借重,"watg"
代管,"watp"
侥,"watq"
借条,"wats"
作茧自缚,"watx"
供稿,"waty"
供养,"waud"
袋装,"wauf"
人世间,"wauj"
化工部,"wauk"
偷工减料,"wauo"
低工资,"wauq"
借道,"waut"
借阅,"wauu"
伊斯兰堡,"wauw"
供,"waw"
借贷,"wawa"
人工合成,"wawd"
借债,"wawg"
任劳任怨,"wawq"
代价,"waww"
公式化,"wawx"
供,wawy
借住,"wawy"
黛绿,"waxv"
供给,"waxw"
代,way
袋,"waye"
供应,"wayi"
代课,"wayj"
代为,"wayl"
借调,"waym"
供词,"wayn"
儰,"wayo"
代谢,"wayt"
供认,"wayw"
代言,"wayy"
他,"wb"
戗,"wba"
他项,"wbad"
戗,wbat
仓,"wbb"
作出了,"wbbb"
倻,"wbbh"
创出,"wbbm"
他院,"wbbp"
创面,"wbdm"
创刊,"wbfj"
仓颉,"wbfk"
追随者,"wbft"
仔,"wbg"
创下,"wbgh"
创汇,"wbia"
创举,"wbiw"
创,"wbj"
创,wbjh
他日,"wbjj"
创口,"wbkk"
他国,"wblg"
他力,"wblt"
创办,"wblw"
创见,"wbmq"
他,wbn
创收,"wbnh"
依附性,"wbnt"
怹,"wbnu"
他心,"wbny"
创业,"wbog"
保卫祖国,"wbpl"
鸧,"wbqg"
保险金,"wbqq"
他杀,"wbqs"
仓猝,"wbqt"
仓皇,"wbrg"
创制,"wbrm"
他的,"wbrq"
保险柜,"wbsa"
创造,"wbtf"
他生,"wbtg"
他处,"wbth"
创利,"wbtj"
他种,"wbtk"
他物,"wbtr"
保卫科,"wbtu"
创痛,"wbuc"
创意,"wbuj"
创新,"wbus"
创立,"wbuu"
创痕,"wbuv"
创始,"wbvc"
创建,"wbvf"
信陵君,"wbvt"
爷爷,"wbwb"
分阶段,"wbwd"
他俩,"wbwg"
仓促,"wbwk"
创作,"wbwt"
他们,"wbwu"
他人,"wbww"
仓储,"wbwy"
保险费,"wbxj"
仔细,"wbxl"
他乡,"wbxt"
创维,"wbxw"
化险为夷,"wbyg"
仓库,"wbyl"
创设,"wbym"
他说,"wbyu"
仓卒,"wbyw"
他方,"wbyy"
公,"wc"
公式,"wcaa"
公墓,"wcaj"
公营,"wcap"
公共,"wcaw"
僪,"wcb"
公子,"wcbb"
伃,"wcbh"
公函,"wcbi"
公职,"wcbk"
仅限,"wcbv"
傪,"wcce"
公允,"wccq"
颂,"wcd"
公有,"wcde"
仅存,"wcdh"
公历,"wcdl"
颂,wcdm
公布,"wcdm"
公克,"wcdq"
俑,"wce"
俑,wceh
公用,"wcet"
仅及,"wcey"
公地,"wcfb"
